REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause+date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +individual +num,#affected +family +num,#damaged+houses+num,#destroyed+houses+num
Central Highland,10,Bamyan,1005,Shibar,04/04/2016,Flood / flash flood,0,0,54,7,7,0
South Eastern,11,Ghazni,1109,Jaghatu,03/04/2016,Flood / flash flood,0,2,49,12,8,4
South Eastern,11,Ghazni,1109,Jaghatu,05/04/2016,Flood / flash flood,0,0,45,8,6,2
North Eastern,9,Baghlan,906,Tala Wa Barfak,02/07/2016,Flood / flash flood,0,0,385,55,0,55
South Eastern,11,Ghazni,1101,Ghazni,24/03/2016,Flood / flash flood,0,0,35,5,3,0
South Eastern,11,Ghazni,1101,Ghazni,27/07/2016,Flood / flash flood,1,0,7,1,0,1
North Eastern,9,Baghlan,903,Dahana-e-Ghori,11/05/2016,Flood / flash flood,0,0,525,75,16,59
Capital,3,Parwan,309,Shekhali,03/04/2016,Flood / flash flood,0,0,45,5,2,3
Capital,4,Wardak,406,Chak,03/05/2016,Flood / flash flood,0,0,222,44,22,21
Capital,4,Wardak,406,Chak,28/07/2016,Flood / flash flood,0,0,28,4,2,2
Capital,3,Parwan,310,Surkh-e- Parsa,22/04/2016,Flood / flash flood,0,0,83,13,11,2
North Eastern,9,Baghlan,904,Doshi,16/04/2016,Flood / flash flood,0,0,329,47,42,5
Capital,4,Wardak,407,Saydabad,03/05/2016,Flood / flash flood,0,0,236,43,43,0
Capital,4,Wardak,407,Saydabad,28/07/2016,Flood / flash flood,0,0,434,62,52,10
North Eastern,9,Baghlan,901,Pul-e-Khumri,08/04/2016,Flood / flash flood,0,0,812,116,80,36
North Eastern,9,Baghlan,901,Pul-e-Khumri,16/04/2016,Flood / flash flood,0,0,1017,241,179,62
North Eastern,9,Baghlan,901,Pul-e-Khumri,06/06/2016,Landslide / mudflow,4,5,9,1,0,1
Capital,4,Wardak,403,Nerkh,03/05/2016,Flood / flash flood,0,0,82,15,11,4
Capital,3,Parwan,307,Ghorband,22/04/2016,Flood / flash flood,0,0,64,11,6,5
Capital,4,Wardak,401,Maydanshahr,03/05/2016,Flood / flash flood,0,0,415,76,34,13
North Eastern,17,Kunduz,1701,Kunduz,17/04/2016,Flood / flash flood,0,0,14,2,0,2
Capital,5,Logar,506,Kharwar,07/04/2016,Flood / flash flood,0,0,24,6,6,0
North Eastern,9,Baghlan,907,Khenjan,19/04/2016,Flood / flash flood,0,0,175,25,22,3
North Eastern,9,Baghlan,907,Khenjan,11/05/2016,Flood / flash flood,0,0,128,35,24,11
Capital,3,Parwan,303,Shinwari,03/04/2016,Flood / flash flood,0,0,42,7,5,2
Capital,3,Parwan,303,Shinwari,22/04/2016,Flood / flash flood,0,0,130,20,13,7
Capital,1,Kabul,103,Shakardara,08/04/2016,Flood / flash flood,0,0,29,7,0,7
Capital,5,Logar,501,Pul-e-Alam,08/04/2016,Flood / flash flood,0,0,114,31,23,8
Capital,5,Logar,501,Pul-e-Alam,03/05/2016,Flood / flash flood,0,0,299,50,37,13
Capital,5,Logar,503,Mohammadagha,08/04/2016,Flood / flash flood,0,0,55,20,19,1
North Eastern,9,Baghlan,905,Nahrin,19/04/2016,Flood / flash flood,1,1,483,69,49,20
North Eastern,9,Baghlan,910,Burka,16/04/2016,Flood / flash flood,11,1,252,36,6,26
Capital,1,Kabul,105,Chaharasyab,29/08/2016,Flood / flash flood,0,0,168,24,24,0
Capital,3,Parwan,301,Charikar,26/03/2016,Flood / flash flood,0,0,107,15,9,6
Capital,3,Parwan,301,Charikar,03/04/2016,Flood / flash flood,0,0,84,12,7,5
Capital,3,Parwan,301,Charikar,22/04/2016,Flood / flash flood,0,0,120,22,16,6
Capital,1,Kabul,101,Kabul,01/04/2016,Flood / flash flood,0,2,2016,288,1500,0
Capital,1,Kabul,101,Kabul,02/04/2016,Flood / flash flood,0,0,147,21,9,12
Capital,1,Kabul,101,Kabul,08/04/2016,Flood / flash flood,7,0,434,120,69,51
Capital,1,Kabul,101,Kabul,03/05/2016,Flood / flash flood,1,0,672,96,48,48
Capital,5,Logar,502,Khoshi,07/04/2016,Flood / flash flood,0,0,269,76,64,12
Capital,5,Logar,502,Khoshi,03/05/2016,Flood / flash flood,0,0,109,16,16,0
Capital,3,Parwan,306,Salang,26/03/2016,Flood / flash flood,0,0,48,7,0,7
Capital,3,Parwan,306,Salang,03/04/2016,Flood / flash flood,0,0,16,2,0,2
Capital,3,Parwan,306,Salang,22/04/2016,Flood / flash flood,0,0,50,6,2,4
South Eastern,12,Paktya,1201,Gardez,31/03/2016,Flood / flash flood,0,0,96,10,8,0
South Eastern,12,Paktya,1201,Gardez,10/04/2016,Earthquake,0,0,12,1,0,1
Capital,3,Parwan,302,Jabalussaraj,26/03/2016,Flood / flash flood,0,0,16,2,0,2
Capital,3,Parwan,302,Jabalussaraj,22/04/2016,Flood / flash flood,0,0,25,3,1,2
Capital,3,Parwan,304,Bagram,26/03/2016,Flood / flash flood,0,0,8,1,0,1
Capital,3,Parwan,304,Bagram,22/04/2016,Flood / flash flood,0,0,48,6,1,5
Capital,1,Kabul,102,Dehsabz,27/08/2016,Flood / flash flood,0,0,154,22,22,0
Capital,3,Parwan,305,Saydkhel,26/03/2016,Flood / flash flood,0,0,8,1,0,1
Capital,3,Parwan,305,Saydkhel,03/04/2016,Flood / flash flood,0,0,6,1,1,0
Capital,3,Parwan,305,Saydkhel,22/04/2016,Flood / flash flood,0,0,42,5,4,1
Capital,1,Kabul,107,Bagrami,01/04/2016,Flood / flash flood,0,0,3374,482,482,0
